OID_,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_WalkTime,Total_Length,Shape_Length
58,196,1,Location 58 - 196,2,2,58,,,,,14.227984256060957,1185.518464049870545,1197.938113340703467
59,68,1,Location 59 - 68,2,1,59,,,,,18.743040667930156,1561.737273631597418,1577.635888368063888
60,73,1,Location 60 - 73,1,1,60,,,,,6.927863961022916,577.261963994067742,581.732000812228080
61,15,1,Location 61 - 15,2,2,61,,,,,11.127755458454097,927.219885909916570,936.304995588678480
62,43,1,Location 62 - 43,1,1,62,,,,,7.483030628041152,623.519311355825380,629.238260375840468
63,93,1,Location 63 - 93,1,2,63,,,,,16.781422523811166,1398.293283113088592,1412.948790245744021
64,93,1,Location 64 - 93,2,2,64,,,,,5.114505219621314,426.160222393833010,430.869171557949244
65,20,1,Location 65 - 20,2,1,65,,,,,3.955851249995884,329.618279563402382,333.043705156123735
66,58,1,Location 66 - 58,2,1,66,,,,,10.861303551427643,905.012229903336333,913.429346609399659
67,66,1,Location 67 - 66,1,1,67,,,,,5.689752367362505,474.095801357598475,477.840374851027434
68,156,1,Location 68 - 156,2,1,68,,,,,19.923842460914354,1660.147847091621770,1673.392419678560827
69,237,1,Location 69 - 237,1,1,69,,,,,5.435139700821306,452.881879147910695,458.370556069103884
70,237,1,Location 70 - 237,1,2,70,,,,,41.471975035944162,3455.617964613260483,3484.415814704088461
71,216,1,Location 71 - 216,1,2,71,,,,,8.235436051385186,686.211641556913492,691.309317059608475
72,162,1,Location 72 - 162,2,2,72,,,,,23.236168933110193,1936.144264819763066,1952.233600432953381
73,47,1,Location 73 - 47,1,2,73,,,,,13.659146613940765,1138.171024715427620,1149.821215345306882
74,184,1,Location 74 - 184,1,2,74,,,,,2.241367710555944,186.766494169979438,187.872854614182870
75,105,1,Location 75 - 105,2,2,75,,,,,16.283521556475144,1356.849082865421906,1370.005295676062588
76,44,1,Location 76 - 44,2,1,76,,,,,8.277314185773058,689.709678585450092,697.569913276846023
77,162,1,Location 77 - 162,2,1,77,,,,,48.496141603161604,4040.960633785147365,4076.265624928847501
78,117,1,Location 78 - 117,1,1,78,,,,,33.066221223656370,2755.286967673416711,2781.622705075312751
79,117,1,Location 79 - 117,2,2,79,,,,,41.882556642856137,3489.909352402955392,3518.620259235632147
80,208,1,Location 80 - 208,2,2,80,,,,,16.674744263531505,1389.431692730242048,1403.238660177437851
81,117,1,Location 81 - 117,1,2,81,,,,,22.420583645509474,1868.225364884557848,1887.451541400543647
82,36,1,Location 82 - 36,1,2,82,,,,,9.335079072015631,777.871776638511847,786.573202588519848
83,156,1,Location 83 - 156,2,1,83,,,,,13.929309301985516,1160.648178415653092,1168.228611314734053
84,111,1,Location 84 - 111,1,1,84,,,,,19.989523254059232,1665.585740832576676,1678.878665985765565
85,237,1,Location 85 - 237,2,2,85,,,,,61.724739060787840,5143.163295374502923,5193.757782904874148
86,162,1,Location 86 - 162,1,2,86,,,,,38.922877802136959,3243.246329102446907,3278.073612410006717
